location_name,lat,lon,title,author,publisher,size,notes,,,library,
東松山市役所,36.042133,139.399952,東松山市文化財保存活用地域計画,東松山市生涯学習部生涯学習課埋蔵文化財センター編,"東松山市 : 東松山市教育委員会, 2024.10",126p ; 30cm,pp.62「都幾川流域の堤防周辺に所在する九頭龍信仰の痕跡は、特に明治43年（1910年）と令和元年（2019年）に発災した水害と重なる点が多い」,,,https://www.city.higashimatsuyama.lg.jp/uploaded/attachment/11742.pdf,
東松山市役所,36.042133,139.399952,東松山市史 資料編 第5巻 （民俗編）,東松山市教育委員会事務局市史編さん課 編,"東松山 : 東松山市, 1983.7",504p ; 27cm,pp.25、pp.65、pp.173-174「越辺川の水神塔_写真_水神信仰も厚く」、◆pp.266-269「第4節水神信仰_東松山市各地の九頭龍碑」,,,http://id.ndl.go.jp/bib/000001638644,
東松山市役所,36.042133,139.399952,九頭龍神と二〇一九年の台風十九号について,柳正博,"埼玉民俗の会, 2020.03",137p : 21cm,雑誌 埼玉民俗第45号。pp.100- 「九頭龍神と二〇一九年の台風十九号について」,,,https://www.lib.city.saitama.jp/bookdetail?3&retresult=page=TOTAL&dym=1&key=%E5%9F%BC%E7%8E%89%E6%B0%91%E4%BF%97&mv=20&pcnt=2&reqsch=0&sort=0&&num=3357219&ctg=1&reqsch=0,
川島町役場,35.9925,139.484341,川島郷土史,鈴木誠一 著,"川島村(埼玉県比企郡) : 川島村郷土研究会, 1956",370p ; 19cm,pp.185-186「享和二年九月」、pp.364-365「九頭龍様（鳥羽井）」、pp.242「大正二年の洪水（八保村村史に依る）」「埼玉県川島領六ヶ所村水害要図」,,,http://id.ndl.go.jp/bib/000000972907,
川島町役場,35.9925,139.484341,かわじまウォッチング第6号 平成28年7月30日,かわじま地域探訪倶楽部,2016,,pp.3「九頭龍大権現様に見守られて_下井草_鳥羽井_長楽」「毎年8月27日に祭典を行い、当番の方がお団子などをお供え」,,,https://www.town.kawajima.saitama.jp/secure/3650/kawazimauotting6.pdf,
川島町役場,35.9925,139.484341,川島の石仏(川島町の文化財7),川島町文化財保護審議会 編,"川島町 (埼玉県) : 川島町教育委員会, 1987.3",402p : 22cm,pp.262-263「弁財天女」pp.390-391「井草神社_（倶利迦羅不動）」,,,http://id.ndl.go.jp/bib/000002340246,
川島町役場,35.9925,139.484341,荒川西遷以後の荒川中流部の洪水氾濫と 避難特性の変化―川島町を例として―,田中規夫(埼玉大学大学院 教授),PDF資料,,荒川西遷と川島町、吉見領図、決潰の痕跡,,,https://www.japanriver.or.jp/kataru/kataru_report/pdf/no190_resume.pdf,
川島町役場,35.9925,139.484341,水害常襲地帯の成立と克服,松浦茂樹,"水利科学 28巻2号, 1984.6",,論文。第1図の、吉見町、大囲堤,,,https://agriknowledge.affrc.go.jp/RN/2010290987.pdf,
坂戸市役所,35.956163,139.398083,坂戸市史. 民俗史料編 2 (石造遺物),坂戸市教育委員会 編,"坂戸 : 坂戸市, 1983.2",673p ; 23cm,pp.9、pp.24、pp.50-52「水神_弁財天」、pp.53「九頭竜大権現」、◆pp.289「写真とリスト」,,,http://id.ndl.go.jp/bib/000001616433,
坂戸市役所,35.956163,139.398083,坂戸市史. 民俗史料編 1,坂戸市教育委員会 編,"坂戸 : 坂戸市, 1985.3",574p ; 23cm,pp.42、pp.49、pp.56-57、pp.104、pp.224、pp.236、pp.274、pp.277-278、pp.284-285「島田」、pp.347、pp.491-492、pp.556-557その他多数◆,,,http://id.ndl.go.jp/bib/000001741042,
