name,lat,lon,type,year,size,address,inscription,coordinates_dd,Survey_date,Condition comment,Condition level ,photo_filename,flood_related,belief_function,belief_function_sub,belief_function_note,relocated,relocation_note,zone
■島田天神社の九頭龍社,35.989703,139.418714,dragon,1908年合祀,,埼玉県坂戸市島田722,,"35.989703, 139.418714",2026年3月15日,当社の創祀は永禄年中。明治四一年に町西の九頭竜社を合祀。,,simada_tenjin_shrine.jpg,,,,,,,b
■島田の九頭龍神社碑,35.984992,139.407127,dragon,1911年,高さ59cm 幅48cm 厚9cm,埼玉県坂戸市島田,（正面）九頭龍神社　（裏面）明治四十四年八月字島田　　（台座文字）昭和四拾九年七月吉日 台座奉納 中島登志雄ほか3名の名前,"35.984992, 139.407127",2026年3月27日,台座高さ88cm。正面裏面ともに地衣類付着著しいが正面の文字は充分判別可能。裏面文字は強いライトをあててやっと判読出来た。台座文字は、ライトを当てると一部判読可能。,★★☆☆☆,simada_kuzuryudragon.jpg,,,,,,,b
上吉田の九頭龍神社祠,35.979153,139.392153,dragon,1879年,高さ73cm 幅43cm 厚33cm,埼玉県坂戸市上吉田,（右側面）「明治十二年卯五月　創建　当所　馬橋鶴次郎」（正面）九頭龍神社　（左側面）「社祠　松本正治」,"35.979153, 139.392153",2026年3月27日,覆屋あり。正面文字は判別は可能だが鮮明ではない。笠部において垂直な割れあり、金属製のかすがいで止められている。下部に欠損あり、その破片が台座に散らばっている。日本酒が供えられている。意義側面「明治十二年卯五月」は視認できたが、左側面は判別不可。,★☆☆☆☆,kamiyosida_kuzuryudragon.jpg,,,,,,,b
北大塚の九頭龍神社碑,35.95387,139.367737,dragon,1876年,高さ45cm 幅21cm 厚13cm,埼玉県坂戸市北大塚,（右側面）明治九年夏六月　（正面）九頭龍神社　（左側面）入間郡大塚村,"35.95387, 139.367737",2026年3月27日,本坪鈴まで付いた覆屋あり。ところどころに欠損が確認でき、右側面の地衣類付着も。日本酒が供えられていた。堤内地に位置するがここに至るまでの階段等はなく「堤防斜面通行禁止」の看板がある。,★★★★☆,north_otuka_kuzuryudragon.jpg,,,,,,,b
■島田の水神宮碑,35.988397,139.40938,water,1858年,高さ72cm 幅29cm 厚27cm,埼玉県坂戸市島田,（右側面）安政五戌午年春大吉祥日 （正面）水神宮　（左側面文字はなし）,"35.988397, 139.40938",2026年3月27日,左右側面地衣類付着著しい。随所に小さい欠損も見られるが正面の文字は迫力がある。,★★☆☆☆,simada_suijingu.jpg,,,,,,,b
火防稲荷近くの辨財天女碑,36.101178,139.41532,benten,-,高さ45cm 幅20cm 厚15cm,埼玉県熊谷市津田　火防稲荷ちかく,(左)井川藤之孫半七,"36.101178, 139.41532",2025年3月2日,経緯年劣化による黒ずみ、正面、左側面に地衣類の付着,★★★☆☆,kabo_inari_shrine_benzaitennyo(front).jpg,,,,,,,b
火防稲荷近くの弁才天碑,36.101242,139.415283,benten,1989年,高さ80cm 幅30cm 厚30cm,埼玉県熊谷市津田　火防稲荷ちかく,"(表面)平成元年四月吉日
施主斉藤繁豊
(台座)辨財天","36.101242, 139.415283",2025年3月2日,平成元年建立、状態美麗。しかしドロバチ類の巣が弁財天左右肩にある。,★★★★☆,kabo_inari_shrine_benzaiten(center).jpg,,,,,,,b
淵がまちの巳日供養塔,36.058925,139.461287,benten,1739年,高さ100cm 幅25cm 厚 - cm,埼玉県比企郡吉見町地頭方,(表面)巳日待供養　元文四年巳未天三月吉日,"36.058925, 139.461287",2025年3月2日,社のなかに祀られ薄い膜のような地衣類に全面覆われている。浮彫の部には破損等確認できない。吉見町史下巻には、牛の供養のため建立されたというよりは巳日待供養塔である、との記述あり。7/28祭礼,★★★★★,fuchigamachi_benten.jpg,,,,,,,b
常永寺の弁才天祠,36.111983,139.399527,benten,-,高さ85cm 幅40cm 厚45cm,熊谷市小泉１７ 常永寺境内,□□大里郡小泉村　願主17人の名前,"36.111983, 139.399527",2025年3月14日,池の中島に祀られている。笠部分「弁才天」と判読できるが、正面文字は風化し判読できない。,★★☆☆☆,jyoei_temple_benten.jpg,,,,,,,b
久下神社裏の辨財天碑,36.12161,139.417798,benten,1818年,高さ87cm 幅58cm 厚52cm,埼玉県熊谷市久下８２９,(右側面)文政元寅年八月吉□,"36.12161, 139.417798",2025年3月14日,正面「辨財天」、世話人の名前も判読可能。久下神社の裏、久下小学校横　他に九頭龍大神碑があるはずだが未確認,★★☆☆☆,kuge_shrine_benten.jpg,,,,,,,b
丸貫の大辯財天女碑,36.045368,139.472798,benten,1774年,高さ96cm 幅55cm 厚14cm,埼玉県比企郡吉見町丸貫,(裏面)安永三年甲午十二月,"36.045368, 139.472798",2025年3月23日,台座高さ20cm 現在のハザードマップでは高リスク箇所にある。正面左下に向かって深い亀裂。点々とした地衣類左上部、「弁」の文字に白の、また台座に地衣類、黄色のものも見られる。左側面の白い地衣類広く分布。右に5基、馬頭觀音3体など。,★★★☆☆,marunuki_benten.jpg,,,,,,,b
飯田新田八幡神社の弁財天碑,35.887167,139.552702,benten,1713年,高さ65cm 幅40cm 厚35cm,さいたま市西区飯田新田367,(表面)正徳三年癸巳天　奉造立辯財天　尊像請願成就攸(仮？) 拯(→手偏に烝という漢字？)月吉辰,"35.887167, 139.552702",2025年3月31日,"笠部に亀裂、修復の跡。正面の文字はかなり鮮明に読める。「拯月吉辰」　吉辰は吉日と同意　　ちかくに齋藤治水翁彰功碑がある。
八幡神社はびん沼川の左岸縁、びん沼川は昭和初期、かなりの蛇行があった。",★★★☆☆,iida_shinden_hachiman_benten.jpg,,,,,,,c
矢那瀬の市杵島姫尊碑,36.130597,139.145975,benten,1874年,高さ126cm 幅56cm 厚8cm,埼玉県秩父郡長瀞町大字矢那瀬,(表面)矢那瀬川面 市杵嶌姫命　明治七年二月吉日,"36.130597, 139.145975",2025年4月27日,大量の地衣類にて真っ白。台座高さ80cm 矢那瀬の水神祠につづく道の入り口左に位置。右隣は如意輪観音碑。,★★☆☆☆,yanase_sekison_ichikishimahime.jpg,,,,,,,a
矢那瀬石碑群の市杵島姫命碑,36.133698,139.135845,benten,不明,高さ122cm 幅56cm 厚4.5cm,埼玉県秩父郡長瀞町大字矢那瀬,(表面)遠世地区　市杵島姫命　講中　(裏面)明治十二年四月吉日,"36.133698, 139.135845",2025年4月27日,細かい地衣類付着。矢那瀬の石碑群のうちの1基。薄い碑のため、前方に倒れそう。,★★★☆☆,yanase_grouped_monument_ichikishimahime.jpg,,,,,,,a
